npcId,nodeId,speaker,text,vo_file,recorded,notes
SeaMonster,greeting,SeaMonster,"Step away from that shell. Did you steal my pearl?",files/vo/SeaMonster/SeaMonster__greeting.ogg,,
SeaMonster,greeting_response,You,"",,,skip (player response choices)
SeaMonster,player_taunts,SeaMonster,"GIVE ME MY PEARL OR FACE MY WRATH!",files/vo/SeaMonster/SeaMonster__player_taunts.ogg,,
SeaMonster,explain_pearl,SeaMonster,"Someone stole my precious pearl, the jewel of the lake. Will you help find it?",files/vo/SeaMonster/SeaMonster__explain_pearl.ogg,,
SeaMonster,explain_pearl_response,You,"",,,skip (player response choices)
SeaMonster,accept_quest,SeaMonster,"Thank you! Once you have it touch the shell and I",files/vo/SeaMonster/SeaMonster__accept_quest.ogg,,
SeaMonster,refuse_quest,SeaMonster,"YOU DARE REFUSE ME? THEN FACE MY WRATH!",files/vo/SeaMonster/SeaMonster__refuse_quest.ogg,,
SeaMonster,hostile_encounter_summon,System,"",files/vo/System/System__hostile_encounter_summon.ogg,,silent node
SeaMonster,hostile_encounter,SeaMonster,"YOU DARE RETURN WITHOUT MY PEARL?! FACE MY WRATH!",files/vo/SeaMonster/SeaMonster__hostile_encounter.ogg,,
SeaMonster,return_summon,System,"",files/vo/System/System__return_summon.ogg,,silent node
SeaMonster,return_with_pearl,SeaMonster,"Wow! My pearl! I",files/vo/SeaMonster/SeaMonster__return_with_pearl.ogg,,
SeaMonster,give_trident,SeaMonster,"I found this magical weapon in the lake. Take it for being so kind to me.",files/vo/SeaMonster/SeaMonster__give_trident.ogg,,
SeaMonster,trident_received,AL,"You got a Magic Trident!",files/vo/AL/AL__trident_received.ogg,,
SeaMonster,already_complete_summon,System,"",files/vo/System/System__already_complete_summon.ogg,,silent node
SeaMonster,already_complete,SeaMonster,"Thank you again for returning my pearl. The lake is at peace.",files/vo/SeaMonster/SeaMonster__already_complete.ogg,,
SeaMonster,quest_in_progress_summon,System,"",files/vo/System/System__quest_in_progress_summon.ogg,,silent node
SeaMonster,quest_in_progress,SeaMonster,"Have you found my pearl yet? Remember, touch the shell when you have it.",files/vo/SeaMonster/SeaMonster__quest_in_progress.ogg,,
Shrine,node_000,AL,"You found a Sea Monster Key! ",files/vo/AL/AL__node_000.ogg,,
TreeSign,node_000,AL,"The Secret of the Tree of [b]AdventureLand[/b] is deeply mysterious.",files/vo/AL/AL__node_000.ogg,,
TreeSign,node_001,AL,"There are few who remember the living tree.",files/vo/AL/AL__node_001.ogg,,
TreeSign,node_002,AL,"The tree was cut down after poison overtook it.",files/vo/AL/AL__node_002.ogg,,
TreeSign,node_003,AL,"The whole forest is still in danger...",files/vo/AL/AL__node_003.ogg,,
TreeSign,node_004,AL,"Unless a brave adventurer can find the source of the poison.",files/vo/AL/AL__node_004.ogg,,
TreeSign,node_005,AL,"Is anyone up to the task of saving AdventureLand?",files/vo/AL/AL__node_005.ogg,,
Welcome,node_000,AL,"Welcome to AdventureLand! Tap[icon=Pointer] or hit spacebar[icon=Spc] to continue",files/vo/AL/AL__node_000.ogg,,
Windmill_Nick,node_000,Windmill_Nick,"Hello.",files/vo/Windmill_Nick/Windmill_Nick__node_000.ogg,,
Windmill_Nick,node_001,You,"",,,skip (player response choices)
Windmill_Nick,node_002,Windmill_Nick,"My brother Bill is lost and I",files/vo/Windmill_Nick/Windmill_Nick__node_002.ogg,,
Windmill_Nick,node_003,Windmill_Nick,"Obviously it is.",files/vo/Windmill_Nick/Windmill_Nick__node_003.ogg,,
Windmill_Nick,node_004,You,"",,,skip (player response choices)
Windmill_Nick,node_005,Windmill_Nick,"Okay, okay! My brother Bill is missing and I",files/vo/Windmill_Nick/Windmill_Nick__node_005.ogg,,
Windmill_Nick,node_006,Windmill_Nick,"I last saw him at the Shrine to the East of the Village.",files/vo/Windmill_Nick/Windmill_Nick__node_006.ogg,,
Windmill_Nick,node_007,You,"",,,skip (player response choices)
Windmill_Nick,node_008,Windmill_Nick,"You",files/vo/Windmill_Nick/Windmill_Nick__node_008.ogg,,
Windmill_Nick,node_009,Windmill_Nick,"Yeah it is. I",files/vo/Windmill_Nick/Windmill_Nick__node_009.ogg,,
